"URL","str1","Date","str2","Response body","Status","Content type","startTime","startDate","connectionState","interval","executionTime","minValue","endDate","endTime","dataFreshness","maxValue","id","startDate (#1)","hasChildren","level","area","dwell","name","value","id (#1)","index","maxDate","name (#1)","maxTime","maxValue (#1)"
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-30",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-30,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-30","all","daily",119,44403,"2016-10-30","23:59","2017-01-05T19:22:02.342+04:00",44403,56,"2016-10-30",true,"SUPERZONE","System Campus","5-1440",,44403,56,0,"2016-10-30","System Campus","00:00",44403
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-29",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-29,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-29","all","daily",120,49531,"2016-10-29","23:59","2017-01-05T19:22:02.342+04:00",49531,56,"2016-10-29",true,"SUPERZONE","System Campus","5-1440",,49531,56,0,"2016-10-29","System Campus","00:00",49531
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-28",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-28,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-28","all","daily",124,52743,"2016-10-28","23:59","2017-01-05T19:22:02.342+04:00",52743,56,"2016-10-28",true,"SUPERZONE","System Campus","5-1440",,52743,56,0,"2016-10-28","System Campus","00:00",52743
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-27",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-27,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-27","all","daily",119,44720,"2016-10-27","23:59","2017-01-05T19:22:02.342+04:00",44720,56,"2016-10-27",true,"SUPERZONE","System Campus","5-1440",,44720,56,0,"2016-10-27","System Campus","00:00",44720
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-26",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-26,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-26","all","daily",114,39474,"2016-10-26","23:59","2017-01-05T19:22:02.342+04:00",39474,56,"2016-10-26",true,"SUPERZONE","System Campus","5-1440",,39474,56,0,"2016-10-26","System Campus","00:00",39474
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-25",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-25,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-25","all","daily",109,39146,"2016-10-25","23:59","2017-01-05T19:22:02.342+04:00",39146,56,"2016-10-25",true,"SUPERZONE","System Campus","5-1440",,39146,56,0,"2016-10-25","System Campus","00:00",39146
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-24",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-24,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-24","all","daily",113,36191,"2016-10-24","23:59","2017-01-05T19:22:02.342+04:00",36191,56,"2016-10-24",true,"SUPERZONE","System Campus","5-1440",,36191,56,0,"2016-10-24","System Campus","00:00",36191
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-23",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-23,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-23","all","daily",115,38046,"2016-10-23","23:59","2017-01-05T19:22:02.342+04:00",38046,56,"2016-10-23",true,"SUPERZONE","System Campus","5-1440",,38046,56,0,"2016-10-23","System Campus","00:00",38046
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-22",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-22,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-22","all","daily",114,48057,"2016-10-22","23:59","2017-01-05T19:22:02.342+04:00",48057,56,"2016-10-22",true,"SUPERZONE","System Campus","5-1440",,48057,56,0,"2016-10-22","System Campus","00:00",48057
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-21",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-21,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-21","all","daily",130,51611,"2016-10-21","23:59","2017-01-05T19:22:02.342+04:00",51611,56,"2016-10-21",true,"SUPERZONE","System Campus","5-1440",,51611,56,0,"2016-10-21","System Campus","00:00",51611
