"Status","Content type","startTime","startDate","connectionState","interval","executionTime","minValue","endDate","endTime","dataFreshness","maxValue","id","startDate (#1)","hasChildren","level","area","dwell","name","value","id (#1)","index","maxDate","name (#1)","maxTime","maxValue (#1)","id (#2)","startDate (#2)","hasChildren (#1)","level (#1)","area (#1)","dwell (#1)","name (#2)","value (#1)"
200,"application/json","00:00","2016-11-06","all","daily",145,104714,"2016-11-06","23:59","2017-01-05T19:30:59.476+04:00",104714,2477,"2016-11-06",true,"SUPERZONE","System Campus","5-1440",,104714,2477,0,"2016-11-06","System Campus","00:00",104714,,,,,,,,
200,"application/json","00:00","2016-11-05","all","daily",146,112537,"2016-11-05","23:59","2017-01-05T19:30:59.476+04:00",112537,2477,"2016-11-05",true,"SUPERZONE","System Campus","5-1440",,112537,2477,0,"2016-11-05","System Campus","00:00",112537,,,,,,,,
200,"application/json","00:00","2016-11-04","all","daily",136,119579,"2016-11-04","23:59","2017-01-05T19:30:59.476+04:00",119579,2477,"2016-11-04",true,"SUPERZONE","System Campus","5-1440",,119579,2477,0,"2016-11-04","System Campus","00:00",119579,,,,,,,,
200,"application/json","00:00","2016-11-03","all","daily",173,110368,"2016-11-03","23:59","2017-01-05T19:30:59.476+04:00",110368,2477,"2016-11-03",true,"SUPERZONE","System Campus","5-1440",,110368,2477,0,"2016-11-03","System Campus","00:00",110368,,,,,,,,
200,"application/json","00:00","2016-11-02","all","daily",175,102510,"2016-11-02","23:59","2017-01-05T19:30:59.476+04:00",102510,2477,"2016-11-02",true,"SUPERZONE","System Campus","5-1440",,102510,2477,0,"2016-11-02","System Campus","00:00",102510,,,,,,,,
200,"application/json","00:00","2016-11-01","all","daily",266,101871,"2016-11-01","23:59","2017-01-05T19:30:59.476+04:00",101871,2477,"2016-11-01",true,"SUPERZONE","System Campus","5-1440",,101871,2477,0,"2016-11-01","System Campus","00:00",101871,,,,,,,,
200,"application/json","00:00","2016-10-31","all","daily",151,98404,"2016-10-31","23:59","2017-01-05T19:30:59.476+04:00",98404,2477,"2016-10-31",true,"SUPERZONE","System Campus","5-1440",,98404,2477,0,"2016-10-31","System Campus","00:00",98404,,,,,,,,
200,"application/json","00:00","2016-10-30","all","daily",221,102312,"2016-10-30","23:59","2017-01-05T19:30:59.476+04:00",102312,2477,"2016-10-30",true,"SUPERZONE","System Campus","5-1440",,102312,2477,0,"2016-10-30","System Campus","00:00",102312,,,,,,,,
200,"application/json","00:00","2016-10-29","all","daily",241,106122,"2016-10-29","23:59","2017-01-05T19:30:59.476+04:00",106122,2477,"2016-10-29",true,"SUPERZONE","System Campus","5-1440",,106122,2477,0,"2016-10-29","System Campus","00:00",106122,,,,,,,,
200,"application/json","00:00","2016-10-28","all","daily",184,108951,"2016-10-28","23:59","2017-01-05T19:30:59.476+04:00",108951,2477,"2016-10-28",true,"SUPERZONE","System Campus","5-1440",,108951,2477,0,"2016-10-28","System Campus","00:00",108951,,,,,,,,
200,"application/json","00:00","2016-10-27","all","daily",150,106536,"2016-10-27","23:59","2017-01-05T19:30:59.476+04:00",106536,2477,"2016-10-27",true,"SUPERZONE","System Campus","5-1440",,106536,2477,0,"2016-10-27","System Campus","00:00",106536,,,,,,,,
200,"application/json","00:00","2016-10-26","all","daily",225,97322,"2016-10-26","23:59","2017-01-05T19:30:59.476+04:00",97322,2477,"2016-10-26",true,"SUPERZONE","System Campus","5-1440",,97322,2477,0,"2016-10-26","System Campus","00:00",97322,,,,,,,,
200,"application/json","00:00","2016-10-25","all","daily",225,99071,"2016-10-25","23:59","2017-01-05T19:30:59.476+04:00",99071,2477,"2016-10-25",true,"SUPERZONE","System Campus","5-1440",,99071,2477,0,"2016-10-25","System Campus","00:00",99071,,,,,,,,
200,"application/json","00:00","2016-10-24","all","daily",144,97189,"2016-10-24","23:59","2017-01-05T19:30:59.476+04:00",97189,2477,"2016-10-24",true,"SUPERZONE","System Campus","5-1440",,97189,2477,0,"2016-10-24","System Campus","00:00",97189,,,,,,,,
200,"application/json","00:00","2016-10-23","all","daily",237,95725,"2016-10-23","23:59","2017-01-05T19:30:59.476+04:00",95725,2477,"2016-10-23",true,"SUPERZONE","System Campus","5-1440",,95725,2477,0,"2016-10-23","System Campus","00:00",95725,,,,,,,,
200,"application/json","00:00","2016-10-22","all","daily",167,109901,"2016-10-22","23:59","2017-01-05T19:30:59.476+04:00",109901,2477,"2016-10-22",true,"SUPERZONE","System Campus","5-1440",,109901,2477,0,"2016-10-22","System Campus","00:00",109901,,,,,,,,
200,"application/json","00:00","2016-10-21","all","daily",134,113514,"2016-10-21","23:59","2017-01-05T19:30:59.476+04:00",113514,2477,"2016-10-21",true,"SUPERZONE","System Campus","5-1440",,113514,2477,0,"2016-10-21","System Campus","00:00",113514,,,,,,,,
200,"application/json","00:00","2016-10-20","all","daily",193,108988,"2016-10-20","23:59","2017-01-05T19:30:59.476+04:00",108988,2477,"2016-10-20",true,"SUPERZONE","System Campus","5-1440",,108988,2477,0,"2016-10-20","System Campus","00:00",108988,,,,,,,,
200,"application/json","00:00","2016-10-19","all","daily",171,100289,"2016-10-19","23:59","2017-01-05T19:30:59.476+04:00",100289,2477,"2016-10-19",true,"SUPERZONE","System Campus","5-1440",,100289,2477,0,"2016-10-19","System Campus","00:00",100289,,,,,,,,
200,"application/json","00:00","2016-10-18","all","daily",140,91511,"2016-10-18","23:59","2017-01-05T19:30:59.476+04:00",91511,2477,"2016-10-18",true,"SUPERZONE","System Campus","5-1440",,91511,2477,0,"2016-10-18","System Campus","00:00",91511,,,,,,,,
200,"application/json","00:00","2016-10-17","all","daily",155,99282,"2016-10-17","23:59","2017-01-05T19:30:59.476+04:00",99282,2477,"2016-10-17",true,"SUPERZONE","System Campus","5-1440",,99282,2477,0,"2016-10-17","System Campus","00:00",99282,,,,,,,,
200,"application/json","00:00","2016-10-16","all","daily",144,100232,"2016-10-16","23:59","2017-01-05T19:30:59.476+04:00",100232,2477,"2016-10-16",true,"SUPERZONE","System Campus","5-1440",,100232,2477,0,"2016-10-16","System Campus","00:00",100232,,,,,,,,
200,"application/json","00:00","2016-10-15","all","daily",329,112526,"2016-10-15","23:59","2017-01-05T19:30:59.476+04:00",112526,2477,"2016-10-15",true,"SUPERZONE","System Campus","5-1440",,112526,2477,0,"2016-10-15","System Campus","00:00",112526,,,,,,,,
200,"application/json","00:00","2016-10-14","all","daily",137,109781,"2016-10-14","23:59","2017-01-05T19:30:59.476+04:00",109781,2477,"2016-10-14",true,"SUPERZONE","System Campus","5-1440",,109781,2477,0,"2016-10-14","System Campus","00:00",109781,,,,,,,,
200,"application/json","00:00","2016-10-13","all","daily",638,109089,"2016-10-13","23:59","2017-01-05T19:30:59.476+04:00",109089,2477,"2016-10-13",true,"SUPERZONE","System Campus","5-1440",,109089,2477,0,"2016-10-13","System Campus","00:00",109089,,,,,,,,
